instance,n_stations,run_time
instance_n=100_271.alb,14,3.6485719680786133
instance_n=100_278.alb,65,3.6355786323547363
instance_n=100_181.alb,13,0.6444070339202881
instance_n=100_204.alb,59,3.0627403259277344
instance_n=100_416.alb,14,4.445282697677612
instance_n=100_7.alb,26,2.8145627975463867
instance_n=100_499.alb,15,5.417943954467773
instance_n=100_269.alb,15,3.6515886783599854
instance_n=100_128.alb,62,4.19938850402832
instance_n=100_324.alb,24,3.0658299922943115
instance_n=100_255.alb,14,3.5156378746032715
instance_n=100_373.alb,62,3.305669069290161
instance_n=100_433.alb,61,4.800403833389282
instance_n=100_65.alb,71,3.3813271522521973
instance_n=100_178.alb,15,2.8398659229278564
instance_n=100_167.alb,22,0.19422578811645508
instance_n=100_505.alb,69,5.298729181289673
instance_n=100_162.alb,23,2.84881854057312
instance_n=100_171.alb,25,3.0175552368164062
instance_n=100_3.alb,21,2.699772596359253
instance_n=100_495.alb,15,5.321879148483276
instance_n=100_22.alb,25,2.841501235961914
instance_n=100_231.alb,23,4.010129928588867
instance_n=100_41.alb,13,2.7329022884368896
instance_n=100_335.alb,13,2.8229830265045166
instance_n=100_188.alb,16,2.7764153480529785
instance_n=100_174.alb,24,2.7437586784362793
instance_n=100_412.alb,14,4.038551568984985
instance_n=100_478.alb,14,5.589959144592285
instance_n=100_132.alb,65,4.87033224105835
instance_n=100_513.alb,67,5.434048891067505
instance_n=100_502.alb,70,5.356969356536865
instance_n=100_389.alb,23,4.685508966445923
instance_n=100_29.alb,15,2.696492910385132
instance_n=100_196.alb,15,2.933375835418701
instance_n=100_135.alb,64,5.228064298629761
instance_n=100_299.alb,64,4.288460731506348
instance_n=100_301.alb,24,2.9455134868621826
instance_n=100_230.alb,25,4.582531929016113
instance_n=100_445.alb,67,4.793803691864014
instance_n=100_20.alb,21,2.623368263244629
instance_n=100_75.alb,61,2.905134677886963
instance_n=100_346.alb,14,3.1435158252716064
instance_n=100_353.alb,62,3.318469524383545
instance_n=100_425.alb,15,4.482047080993652
instance_n=100_153.alb,21,2.959345579147339
instance_n=100_329.alb,14,2.898834466934204
instance_n=100_320.alb,23,3.087416887283325
instance_n=100_289.alb,69,4.1815056800842285
instance_n=100_108.alb,15,4.824887990951538
instance_n=100_316.alb,25,2.7873458862304688
instance_n=100_314.alb,20,3.040975332260132
instance_n=100_436.alb,60,4.765101194381714
instance_n=100_523.alb,64,5.370700120925903
instance_n=100_455.alb,26,5.492622137069702
instance_n=100_49.alb,14,1.0554230213165283
instance_n=100_172.alb,25,2.9894440174102783
instance_n=100_315.alb,23,3.0648624897003174
instance_n=100_265.alb,14,3.7865147590637207
instance_n=100_16.alb,24,2.9220540523529053
instance_n=100_155.alb,23,2.770260810852051
instance_n=100_126.alb,61,3.911933660507202
instance_n=100_321.alb,27,3.0813522338867188
instance_n=100_359.alb,61,3.3547189235687256
instance_n=100_238.alb,24,3.701848030090332
instance_n=100_317.alb,26,3.120969533920288
instance_n=100_252.alb,14,3.081045389175415
instance_n=100_501.alb,68,5.456145286560059
instance_n=100_476.alb,14,4.800904750823975
instance_n=100_509.alb,64,5.364686012268066
instance_n=100_143.alb,60,4.162826061248779
instance_n=100_222.alb,60,3.145677089691162
instance_n=100_250.alb,25,4.1902430057525635
instance_n=100_281.alb,74,4.38010048866272
instance_n=100_92.alb,25,4.318969964981079
instance_n=100_78.alb,23,3.8812873363494873
instance_n=100_176.alb,13,2.8368215560913086
instance_n=100_376.alb,24,4.547231197357178
instance_n=100_221.alb,63,3.0851287841796875
instance_n=100_388.alb,28,4.2631354331970215
instance_n=100_332.alb,15,2.806168794631958
instance_n=100_369.alb,59,3.3159804344177246
instance_n=100_343.alb,16,2.982243776321411
instance_n=100_210.alb,58,3.41011905670166
instance_n=100_228.alb,23,3.8094723224639893
instance_n=100_216.alb,61,3.1548445224761963
instance_n=100_344.alb,15,2.9181389808654785
instance_n=100_362.alb,67,3.2681055068969727
instance_n=100_405.alb,14,4.234488248825073
instance_n=100_409.alb,15,1.6965961456298828
instance_n=100_282.alb,65,3.59597110748291
instance_n=100_492.alb,15,5.158124685287476
instance_n=100_469.alb,23,5.571220397949219
instance_n=100_512.alb,68,5.494070291519165
instance_n=100_471.alb,28,5.508626222610474
instance_n=100_516.alb,74,5.325570821762085
instance_n=100_42.alb,15,2.6233110427856445
instance_n=100_241.alb,25,3.948932409286499
instance_n=100_9.alb,24,2.5860466957092285
instance_n=100_483.alb,14,4.769153356552124
instance_n=100_131.alb,59,3.9787356853485107
instance_n=100_97.alb,24,5.174616098403931
instance_n=100_59.alb,63,3.3424899578094482
instance_n=100_404.alb,15,4.242132663726807
instance_n=100_426.alb,71,4.651428937911987
instance_n=100_147.alb,68,4.419785022735596
instance_n=100_80.alb,23,3.9440057277679443
instance_n=100_363.alb,58,3.0291738510131836
instance_n=100_382.alb,26,4.392716884613037
instance_n=100_215.alb,56,3.2809534072875977
instance_n=100_99.alb,23,4.112729549407959
instance_n=100_391.alb,20,3.96319580078125
instance_n=100_517.alb,65,5.624422550201416
